Año Censal,Entidad,Municipio,Edad mediana,Grado promedio de escolaridad de la población de 15 y más años,Hogares censales,Población de 5 años y más que asiste a la escuela,Población derechohabiente a servicios de salud,Población en hogares censales,Población en hogares familiares,Población en hogares no familiares,Población total,Porcentaje de población de 15 a 29 años,Porcentaje de población de 60 y más años,Promedio de ocupantes en viviendas particulares habitadas,Tamaño promedio de los hogares censales,Total de viviendas particulares habitadas,Viviendas particulares habitadas,Viviendas particulares habitadas que disponen de agua de la red pública en el ámbito de la vivienda,Viviendas particulares habitadas que disponen de computadora,Viviendas particulares habitadas que disponen de drenaje,Viviendas particulares habitadas que disponen de energía eléctrica,Viviendas particulares habitadas que disponen de excusado o sanitario,Viviendas particulares habitadas que disponen de lavadora,UE Unidades económicas,H010A Personal remunerado total,J000A Total de remuneraciones (millones de pesos),K000A Total de gastos por consumo de bienes y servicios (millones de pesos),M000A Total de ingresos por suministro de bienes y servicios (millones de pesos),A111A Producción bruta total (millones de pesos),A121A Consumo intermedio (millones de pesos),A131A Valor agregado censal bruto (millones de pesos),A211A Inversión total (millones de pesos),A800A Total de ingresos (millones de pesos),A700A Total de gastos (millones de pesos),UE Sector 62 Servicios de salud y de asistencia social,UE Subsector 621 Servicios médicos de consulta externa y servicios relacionados,UE Subsector 622 Hospitales,UE Subsector 623 Residencias de asistencia social y para el cuidado de la salud,total_area,Prod_Bruta_Per_Capita,%_Pob_Derechohabiente,Densidad_Poblacional,Economic_Units_Per_Capita,Health_Units_Per_Capita,xgb_prediction,num_farms_real,Difference
2024,sinaloa,mazatlan,32.6,11.23094450366312,165243.6,131982.0,431537.2,524371.4,495938.6,28475.2,526643.8,24.23306240911512,14.7639540334437,3.1450801501956103,3.143508699406086,165084.4,160786.0,165674.8,79107.6,164697.2,164475.6,164577.0,130712.2,8564.4,15235.6,1338.442,34437.890799999994,47077.4196,17340.974400000003,5148.8068,12192.1676,88.69160000000011,47803.72900000001,35165.106,1533.2,1304.0,18.2,55.0,2505120969.568957,32927.33038915488,81.94100072952534,0.2102268937897306,0.016262225056100536,0.002911265641027199,268.80487,299.0,-30.19512939453125
2024,sinaloa,mocorito,36.0,8.35119801073158,11555.8,8593.8,33777.6,38145.4,36301.4,1833.8,38162.4,18.877180179956923,22.368680564162297,3.307895483647692,3.303304047639596,11553.4,11218.4,12593.8,1874.4,11309.0,11464.0,11291.4,9171.8,287.2,449.4,41.776,1178.0346,1397.4442,339.538,122.8538,216.68420000000003,30.0702,1430.736,1207.792,26.4,22.2,0.0,0.0,2772950372.2002506,8897.186759742573,88.5101565939249,0.0137623811744309,0.007525732134247321,0.0006917803911703666,10.56518,15.0,-4.434820175170898
2024,sinaloa,navolato,29.2,8.980334372550093,39452.4,37502.6,131818.8,143727.2,138441.2,5301.200000000001,154529.6,26.086215420519977,12.98239697410694,3.624370409792446,3.622759881002982,39432.4,39291.4,39737.2,9590.6,38594.8,39238.0,38992.8,26950.2,1957.2,2231.2,226.8654,6409.572999999999,8445.730800000001,2638.3614,636.6714000000001,2001.6900000000005,-2.027200000000001,8619.968200000001,6283.8878,184.0,140.2,0.0,6.6,2306317380.527744,17073.50177571158,85.3032687588656,0.067002747022025,0.01266553462896429,0.0011907103881715864,51.101547,52.0,-0.8984527587890625
2024,sinaloa,rosario,31.2,9.441077284350047,15598.8,12361.2,45407.0,53519.0,50937.0,2616.4,53531.0,21.696127614862935,17.00445887859394,3.4107866323907503,3.40795085066162,15590.0,15386.0,16607.199999999997,3105.2,14869.8,15434.4,15022.6,11288.4,596.6,503.2,54.409000000000006,1934.2972,2716.2736,927.2835999999998,163.64,763.6435999999999,-16.1912,2774.77,1957.673,67.0,54.8,0.0,1.0,2606256996.7378097,17322.366479236327,84.82374698772674,0.0205394172819501,0.011144944051110571,0.001251611215930956,16.775665,22.0,-5.224334716796875
2024,sinaloa,salvador alvarado,32.6,10.91135609136628,24299.2,20742.0,72390.2,79638.8,76364.6,3333.4,79654.8,22.2383241488639,16.3641166553434,3.25658622922512,3.2526498406408804,24275.6,24244.6,24538.2,9799.2,24129.4,24203.8,24203.2,20706.2,1492.4,2180.8,227.63280000000003,4927.1022,6382.568800000001,1981.8324,617.74,1364.0924,-86.3162,6509.7656,4996.025799999999,282.8,250.6,0.7999999999999998,4.4,765964005.8822385,24880.263336296117,90.87989675449565,0.1039928761512148,0.018735845171916822,0.003550319629199998,53.663445,58.0,-4.336555480957031
2024,sinaloa,sinaloa,32.0,8.318242424242426,21202.6,19342.8,69876.8,74871.2,72098.6,2808.6000000000004,74825.2,21.610174145163324,17.823022753273143,3.527385537013262,3.525603795966792,21190.6,21040.2,21027.8,3168.6000000000004,20383.6,20668.0,20384.6,15342.0,487.6,579.4,35.5964,1054.4437999999998,1223.5033999999998,288.3542,122.70619999999998,165.648,1.2561999999999998,1235.6706,1063.125,51.0,50.4,0.0,0.0,6268271356.567815,3853.70436697797,93.38671998203814,0.0119371347766556,0.006516521172011569,0.0006815885557272149,16.090668,20.0,-3.909332275390625
2024,sonora,aconchi,35.6,9.164572879634337,824.8,496.2000000000001,1998.0,2533.4,2382.4,151.8,2533.4,21.2282949668358,20.113039406945,3.04202531645569,3.04202531645569,824.8,820.6,818.8,224.4,825.4,815.8,823.2,685.4,29.2,61.4,5.410200000000001,317.20039999999995,390.8746,85.03980000000001,13.912,71.12780000000001,-17.468,391.1008,318.3364,1.7999999999999998,1.7999999999999998,0.0,0.0,368583746.9649226,33567.458751085505,78.8663456224836,0.0068733361708461,0.011526012473355964,0.000710507618220573,3.8660107,4.0,-0.1339893341064453
2024,sonora,agua prieta,28.2,9.970838200758717,29826.800000000003,25291.2,71521.6,97131.4,92054.2,5023.4,97045.4,25.61334697520522,10.350996364586289,3.1985840734162183,3.19722251773049,29732.800000000003,26335.2,29680.0,12518.0,29585.2,29574.6,29670.800000000003,24142.800000000003,1101.6,2515.2,247.611,4560.839599999999,6418.950599999999,2442.6388000000006,598.4608,1844.1780000000003,66.1968,6548.302,4717.8228,146.0,130.4,1.7999999999999998,0.7999999999999998,3973425742.129084,25170.062671698,73.69911402292124,0.0244236098264164,0.011351388113192381,0.0015044504943047276,32.77573,39.0,-6.224269866943359
2024,sonora,alamos,33.6,8.701590750201673,7335.0,6193.0,20867.6,24613.6,23481.0,1131.4,24627.2,20.74148240099306,18.88800384415172,3.342358225715888,3.338527968596668,7333.8,7287.4,7151.4,1475.0,5916.6,7054.6,6782.8,4274.6,226.2,305.4,25.749799999999997,818.7497999999999,1263.1708,603.5352,164.0584,439.4768,0.7873999999999999,1270.5284,822.4491999999999,22.2,18.0,0.0,1.0,6377099845.077978,24506.85420997921,84.7339527027027,0.0038618181615907,0.009184966216216216,0.0009014423076923076,8.296284,7.0,1.2962837219238281
2024,sonora,altar,26.8,9.157063728409764,2827.0,2684.0,6854.2,9644.0,9169.2,471.2000000000001,9669.2,25.26790893760538,11.08330522765594,3.3887604677480256,3.377808630394002,2824.6,2694.0,2839.2,925.6,2777.0,2774.4,2768.0,2285.6,185.4,330.4,23.8538,475.5504,560.2984000000001,128.368,48.393800000000006,79.9742,-18.6898,561.021,485.2768,3.4000000000000004,2.6,0.0,0.0,4489661376.937503,13275.969056385222,70.88693997435153,0.0021536590821011,0.019174285359698836,0.00035163198610019443,4.3394713,4.0,0.33947134017944336
