Año Censal,Entidad,Municipio,Edad mediana,Grado promedio de escolaridad de la población de 15 y más años,Hogares censales,Población de 5 años y más que asiste a la escuela,Población derechohabiente a servicios de salud,Población en hogares censales,Población en hogares familiares,Población en hogares no familiares,Población total,Porcentaje de población de 15 a 29 años,Porcentaje de población de 60 y más años,Promedio de ocupantes en viviendas particulares habitadas,Tamaño promedio de los hogares censales,Total de viviendas particulares habitadas,Viviendas particulares habitadas,Viviendas particulares habitadas que disponen de agua de la red pública en el ámbito de la vivienda,Viviendas particulares habitadas que disponen de computadora,Viviendas particulares habitadas que disponen de drenaje,Viviendas particulares habitadas que disponen de energía eléctrica,Viviendas particulares habitadas que disponen de excusado o sanitario,Viviendas particulares habitadas que disponen de lavadora,UE Unidades económicas,H010A Personal remunerado total,J000A Total de remuneraciones (millones de pesos),K000A Total de gastos por consumo de bienes y servicios (millones de pesos),M000A Total de ingresos por suministro de bienes y servicios (millones de pesos),A111A Producción bruta total (millones de pesos),A121A Consumo intermedio (millones de pesos),A131A Valor agregado censal bruto (millones de pesos),A211A Inversión total (millones de pesos),A800A Total de ingresos (millones de pesos),A700A Total de gastos (millones de pesos),UE Sector 62 Servicios de salud y de asistencia social,UE Subsector 621 Servicios médicos de consulta externa y servicios relacionados,UE Subsector 622 Hospitales,UE Subsector 623 Residencias de asistencia social y para el cuidado de la salud,total_area,Prod_Bruta_Per_Capita,%_Pob_Derechohabiente,Densidad_Poblacional
2018,mexico,zacazonapan,24.2,7.580926193921856,1290.6,1293.0,4481.2,4896.2,4750.8,143.2,4897.4,25.588330397337998,9.80156586416128,3.834109090909088,3.829739130434784,1291.0,1290.6,1252.2,233.2,1246.0,1277.4,1245.0,945.0,122.0,28.0,1.838,56.075,69.025,14.136,2.1,12.036,-0.912,69.025,56.195,11.0,8.0,0.0,0.0,66352919.323893026,2886.4295340384697,91.50161310082902,0.0738083576412665
2024,mexico,zacazonapan,26.6,8.241620839363248,1558.8000000000002,1455.0,5254.6,5534.6,5324.4,214.6,5532.2,24.454578195341497,10.40274026228224,3.454690909090904,3.4470434782608725,1558.0,1558.8000000000002,1554.6,301.6,1534.0,1540.1999999999998,1518.0,1206.0,155.6,32.8,2.9912,99.6026,117.8674,17.702399999999997,2.13,15.572399999999998,-2.8308,117.8674,99.8594,17.0,12.8,0.0,0.0,66352919.323893026,3199.8843136546034,94.98210476844656,0.08337538206865164
2003,mexico,zacualpan,19.6,5.22,2901.2,3631.2,4062.2,13435.2,13235.6,194.2,14720.4,24.26,10.5,4.68,4.624,3133.4,2834.6,1411.6,115.0,1456.2,2587.8,1327.0,543.0,110.0,17.0,0.308,16.144,21.633,7.676,1.376,6.3,1.425,21.788,16.231,1.0,1.0,0.0,0.0,290976322.7199442,521.4532213798539,27.59571750767642,0.05058968325119682
2008,mexico,zacualpan,21.2,5.8,3202.8,3700.6,9467.8,14140.0,13896.8,239.6,14592.6,24.76,11.14,4.449999999999999,4.426,3285.4,3187.2,1687.0,259.6,1960.8,2950.6,1870.0,961.8,171.0,56.0,1.176,30.29,39.433,12.734,3.267,9.467,0.802,39.546,30.481,2.0,2.0,0.0,0.0,290976322.7199442,872.6340748050382,64.88083000973094,0.050150472256964125
2013,mexico,zacualpan,23.5,6.41884150222788,3503.2,3747.6,12215.7,14630.6,14309.5,321.1,14641.3,24.712918207365778,11.98336192870877,4.182482399324133,4.181833239752948,3503.9,3499.6,2150.5,375.8,2306.3,3293.0,2354.1,1287.2,168.0,22.0,0.886,30.472,38.088,12.253,4.207,8.046,0.372,38.088,30.511,3.0,2.0,0.0,0.0,290976322.7199442,836.8792388654014,83.4331650877996,0.05031783982675389
2018,mexico,zacualpan,26.0,7.11691067260768,3545.2,3538.6,12050.2,13821.6,13432.0,389.6,13841.8,23.90111521964208,13.12229847655672,3.903286398197688,3.9015553060078636,3545.4,3535.6,2693.0,448.8,2626.8,3413.0,2697.6,1504.2,199.0,56.0,2.336,48.502,62.986,17.586,3.295,14.291,-0.181,62.986,48.563,5.0,4.0,0.0,0.0,290976322.7199442,1270.4995015099194,87.0565966854022,0.04757019358349067
2024,mexico,zacualpan,29.0,7.95459367706344,3595.6,3287.8,11851.6,12850.8,12379.0,471.79999999999995,12882.4,22.926951634373637,14.489022333974258,3.5682511968459543,3.565221785513762,3595.2,3578.8,3344.0,536.4,3011.3999999999996,3557.0,3109.8,1764.6,236.2,96.8,4.075999999999999,70.138,92.86359999999999,23.985599999999998,2.2006,21.785,-0.8445999999999999,92.86359999999999,70.22540000000001,7.4,6.4,0.0,0.0,290976322.7199442,1861.889088989629,91.99838539402596,0.04427301809157481
2003,mexico,zinacantepec,21.6,7.359999999999999,26689.0,36043.8,52521.0,126158.0,125269.8,818.8,130440.2,30.04,5.4399999999999995,4.92,4.742,26523.2,25646.8,19883.8,2274.4,21597.6,24856.4,22407.4,7560.8,1977.0,1013.0,30.562,895.662,1080.998,269.233,72.345,196.888,43.276,1082.33,903.457,54.0,47.0,0.0,0.0,308712926.2109604,2064.0339404570063,40.264427684103524,0.42252911661646164
2008,mexico,zinacantepec,23.2,8.158,33819.4,43297.6,89571.2,152593.2,151016.4,1502.4,155122.2,28.56,5.84,4.596,4.5200000000000005,33975.2,33429.4,27057.8,6333.200000000001,30433.2,32737.4,31135.6,13764.2,2613.0,749.0,30.675,1782.452,2015.479,434.444,198.621,235.823,57.325,2017.925,1794.551,93.0,79.0,2.0,1.0,308712926.2109604,2800.6565146703692,57.74234764592043,0.502480417337616
2013,mexico,zinacantepec,25.2,8.968841683164992,40688.4,50094.6,116878.4,177239.9,174692.6,2448.9,178592.9,27.50111638045303,6.744257562814813,4.372638079606073,4.372322699612762,41004.1,40484.1,35632.2,11095.4,38395.6,40133.7,39069.8,20107.5,3021.0,1090.0,50.445,2131.825,2823.757,909.475,176.419,733.056,73.528,2836.776,2146.144,104.0,95.0,1.0,0.0,308712926.2109604,5092.447684090465,65.44403500923049,0.5785080080448517
