Año Censal,Entidad,Municipio,farms,Total_Ingresos_Millones
2003,guanajuato,san francisco del rincon,43.0,95.615
2003,guanajuato,san jose iturbide,21.0,31.078
2003,guanajuato,san luis de la paz,31.0,54.817
2003,guanajuato,santa cruz de juventino rosas,25.0,38.719
2003,guanajuato,santiago maravatio,3.0,6.468
2003,guanajuato,silao de la victoria,36.0,86.108
2003,guanajuato,tarimoro,13.0,15.241
2003,guanajuato,uriangato,34.0,47.975
2003,guanajuato,valle de santiago,43.0,103.728
2003,guanajuato,villagran,17.0,17.931
2003,guanajuato,yuriria,36.0,43.325
2003,guerrero,acapulco de juarez,264.0,366.748
2003,guerrero,ajuchitlan del progreso,22.0,3.939
2003,guerrero,apaxtla,5.0,2.239
2003,guerrero,arcelia,25.0,22.997
2003,guerrero,atoyac de alvarez,14.0,27.302
2003,guerrero,ayutla de los libres,6.0,25.142
2003,guerrero,azoyu,5.0,1.553
2003,guerrero,copala,5.0,2.092
2003,guerrero,coyuca de benitez,11.0,9.66
2003,guerrero,coyuca de catalan,7.0,6.792
2003,guerrero,cuajinicuilapa,10.0,18.713
2003,guerrero,cualac,3.0,0.465
2003,guerrero,cutzamala de pinzon,6.0,2.221
2003,guerrero,chilapa de alvarez,24.0,11.142
2003,guerrero,chilpancingo de los bravo,61.0,131.403
2003,guerrero,general canuto a. neri,3.0,0.311
2003,guerrero,general heliodoro castillo,5.0,0.842
2003,guerrero,huamuxtitlan,5.0,3.643
2003,guerrero,huitzuco de los figueroa,12.0,8.033
2003,guerrero,iguala de la independencia,48.0,239.417
2003,guerrero,zihuatanejo de azueta,39.0,89.45400000000001
2003,guerrero,juan r. escudero,13.0,37.714999999999996
2003,guerrero,mochitlan,4.0,0.269
2003,guerrero,olinala,5.0,1.378
2003,guerrero,ometepec,24.0,32.006
2003,guerrero,petatlan,17.0,17.282
2003,guerrero,pungarabato,42.0,66.99799999999999
2003,guerrero,quechultenango,7.0,9.504
2003,guerrero,san marcos,19.0,12.718
2003,guerrero,taxco de alarcon,28.0,55.719
2003,guerrero,tecoanapa,8.0,3.975
2003,guerrero,tecpan de galeana,24.0,34.104
2003,guerrero,teloloapan,14.0,29.32
2003,guerrero,tepecoacuilco de trujano,8.0,2.242
2003,guerrero,tixtla de guerrero,9.0,10.567
2003,guerrero,tlalixtaquilla de maldonado,6.0,1.903
2003,guerrero,tlapa de comonfort,17.0,7.163
2003,guerrero,tlapehuala,17.0,5.572
2003,hidalgo,actopan,47.0,47.775000000000006
2003,hidalgo,agua blanca de iturbide,3.0,0.65
2003,hidalgo,ajacuba,7.0,1.326
2003,hidalgo,almoloya,3.0,0.652
2003,hidalgo,apan,11.0,9.85
